OPP CUST - Final Customer,Amount,Pipeline 2022 (k$),Pipeline 2023 (k$),Pipeline 2024 (k$),Pipeline 2025 (k$),Pipeline 2026 (k$),Weighted 2021 (k$),PROD - Product name(new) ,INFO - Sales Region,Services Value (k$) 2021,Services Value (k$) 2022,Services Value (k$) 2023,Services Value (k$) 2024,Services Value (k$) 2025,Services Value (k$) 2026,Deal owner,Pipeline 2026 (k$)2,Weighted 2021 (k$)3,Weighted 2023 (k$),INFO - Sales Region4,Pipeline 2021 (k$),Deal Stage,Weighted 2022 (k$),Amount5,Pipeline 2025 (k$)6,Deal Stage7,Deal ID
"Tier 2 power companies, Hokkaido, Chugoku, Shikoku, and Hokuriku",600,0,0,300,150,150,0,INES,APAC,0,0,0,300,150,150,KATSUNORI MIYAHATA,150,0,0,APAC,0,Qualified,0,600,150,Qualified,5676001071
"Tier 2 power companies, Hokkaido, Chugoku, Shikoku, and Hokuriku",200,0,0,0,100,100,0,INES,APAC,0,0,0,0,100,100,KATSUNORI MIYAHATA,100,0,0,APAC,0,Qualified,0,200,100,Qualified,5676048790
Tohoku Electric Power,191,0,0,15,80,96,0,INES,APAC,0,0,0,15,80,96,KATSUNORI MIYAHATA,96,0,0,APAC,0,Identified,0,191,80,Identified,10124872252
Tohoku Electric Power Company,1090,0,0,50,400,640,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,640,0,0,APAC,0,Identified,0,1090,400,Identified,10125566023
Tokyo Electric Power,810,0,0,510,150,150,0,INES,APAC,0,0,0,510,150,150,KATSUNORI MIYAHATA,150,0,0,APAC,0,Design In,0,810,150,Design In,7523189262
Tokyo Electric Power,425,0,0,5,70,350,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,350,0,0,APAC,0,Qualified,0,425,70,Qualified,8537582391
Tokyo Electric Power,2455,0,0,5,350,2100,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,2100,0,0,APAC,0,Qualified,0,2455,350,Qualified,7525369722
Tokyo Electric Power,412.5,0,0,12.5,100,300,0,INES,APAC,0,0,0,12.5,100,300,KATSUNORI MIYAHATA,300,0,0,APAC,0,Design In,0,412.5,100,Design In,7523337599
"Tokyo Gas, Osaka Gas, and/or Toho-Gas",508,0,0,36,120,352,0,INES,APAC,0,0,0,36,120,352,KATSUNORI MIYAHATA,352,0,0,APAC,0,Qualified,0,508,120,Qualified,5676048789
"Tokyo Gas, Osaka Gas, and/or Toho-Gas",2430,0,0,1530,450,450,0,INES,APAC,0,0,0,1530,450,450,KATSUNORI MIYAHATA,450,0,0,APAC,0,Qualified,0,2430,450,Qualified,5676001070
Toshiba,3836.5,0,5,436.5,1697.5,1697.5,0,VIC408,APAC,0,0,0,0,0,0,KATSUNORI MIYAHATA,1697.5,0,2.5,APAC,0,Design In,0,3836.5,1697.5,Design In,5676044392
Trustway/Atos,27,0,5,5,7,10,0,MS6003,EMEA,0,0,0,0,0,0,franck buonanno,10,0,1,EMEA,0,Qualified,0,27,7,Qualified,10995332485
UIC,162.5,0,0,0,75,87.5,0,VIC408,NORAM,0,0,0,0,0,0,Richard Venia,87.5,0,0,NORAM,0,Design In,0,162.5,75,Design In,5574177887
UIC,862.08,51.36,64.2,192.6,0,0,553.92,(No value),NORAM,280,0,0,0,0,0,Richard Venia,0,553.92,64.2,NORAM,553.92,Closed Won,51.36,862.08,0,Closed Won,5574214732
Umbrella,511,0,34.5,64,147.5,265,0,VIC155,EMEA,0,0,0,0,0,0,franck buonanno,265,0,17.25,EMEA,0,Design In,0,511,147.5,Design In,9844179526
